birthday,user_id,age,experience_vibes,activities,dietary_preference,schedule_density,planning_style,location_priorities,travel_willingness
1/30/2005,0,20,"['Chill & Laid-back', 'Social & Outgoing']","['Try new restaurants / cafes', 'Go to live events']",No restrictions,3,3,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
6/20/2005,1,19,"['Loud & Energetic', 'Intimate']","['Explore parks or nature', 'Hosting or joining game/movie nights']",No restrictions,3,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
9/8/1999,2,25,"['Loud & Energetic', 'Social & Outgoing']","['Go to live events', 'Hosting or joining game/movie nights']",No restrictions,1,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
4/3/2006,3,19,"['Loud & Energetic', 'Social & Outgoing']","['Go to live events', 'Hosting or joining game/movie nights']",Halal,4,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
3/24/2005,4,20,"['Chill & Laid-back', 'Social & Outgoing']","['Go to live events', 'Hosting or joining game/movie nights']",No restrictions,2,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Low
6/23/2005,5,19,"['Chill & Laid-back', 'Social & Outgoing']","['Go to live events', 'Hosting or joining game/movie nights']",No restrictions,2,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
9/8/1975,6,49,"['Loud & Energetic', 'Intimate']","['Explore parks or nature', 'Hosting or joining game/movie nights']",Gluten-Free,5,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
11/5/2004,7,20,"['Chill & Laid-back', 'Social & Outgoing']","['Go to live events', 'Hosting or joining game/movie nights']",Vegetarian,4,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
5/6/2004,8,20,"['Chill & Laid-back', 'Social & Outgoing']","['Go to live events', 'Hosting or joining game/movie nights']",Vegetarian,5,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
3/9/1976,9,49,"['Chill & Laid-back', 'Social & Outgoing']","['Go to live events', 'Hosting or joining game/movie nights']",No restrictions,2,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
11/5/2004,10,20,"['Loud & Energetic', 'Intimate']","['Explore parks or nature', 'Try new restaurants / cafes']",Vegetarian,4,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
11/3/2004,11,20,"['Loud & Energetic', 'Intimate']","['Explore parks or nature', 'Hosting or joining game/movie nights']",No restrictions,5,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
5/5/2006,12,18,"['Loud & Energetic', 'Social & Outgoing']","['Go to live events', 'Hosting or joining game/movie nights']",No restrictions,4,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
2/2/2005,13,20,"['Loud & Energetic', 'Intimate']","['Explore parks or nature', 'Hosting or joining game/movie nights']",No restrictions,1,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
2/7/2005,14,20,"['Loud & Energetic', 'Social & Outgoing']","['Go to live events', 'Hosting or joining game/movie nights']",No restrictions,2,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
6/13/2005,15,19,"['Loud & Energetic', 'Intimate']","['Explore parks or nature', 'Hosting or joining game/movie nights']",No restrictions,5,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
2/7/1945,16,80,"['Loud & Energetic', 'Intimate']","['Explore parks or nature', 'Hosting or joining game/movie nights']",No restrictions,4,5,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
2/13/1990,17,35,"['Loud & Energetic', 'Social & Outgoing']","['Go to live events', 'Hosting or joining game/movie nights']",No restrictions,1,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
1/1/1978,18,47,"['Loud & Energetic', 'Social & Outgoing']","['Go to live events', 'Hosting or joining game/movie nights']",No restrictions,1,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
5/30/1977,19,47,"['Chill & Laid-back', 'Social & Outgoing']","['Go to live events', 'Hosting or joining game/movie nights']",No restrictions,1,5,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
8/13/1980,20,44,"['Chill & Laid-back', 'Social & Outgoing']","['Go to live events', 'Hosting or joining game/movie nights']",No restrictions,4,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
6/25/1974,21,50,"['Chill & Laid-back', 'Social & Outgoing']",['Go to live events'],No restrictions,4,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
2/1/1980,22,45,"['Chill & Laid-back', 'Social & Outgoing']","['Go to live events', 'Hosting or joining game/movie nights']",No restrictions,5,5,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
11/2/1981,23,43,"['Loud & Energetic', 'Social & Outgoing']","['Go to live events', 'Hosting or joining game/movie nights']",No restrictions,3,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
4/8/1977,24,48,"['Loud & Energetic', 'Social & Outgoing']",['Go to live events'],No restrictions,2,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
4/14/0067,25,1958,"['Chill & Laid-back', 'Social & Outgoing']","['Go to live events', 'Hosting or joining game/movie nights']",No restrictions,2,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium
1/24/0044,26,1981,"['Chill & Laid-back', 'Intimate']","['Explore parks or nature', 'Hosting or joining game/movie nights']",No restrictions,5,1,"{'Ambience & Atmosphere': 0.14285714285714285, 'Cost / Budget': 0.047619047619047616, 'Distance / Travel Time': 0.09523809523809523, 'Food & Drink Quality': 0.2857142857142857, 'Reviews & Popularity': 0.19047619047619047, 'Unique or Specialty Offerings': 0.23809523809523808}",Medium